DATE,VaR_MC_95
2021-09-13,-0.00901746833949963
2021-09-14,-0.00877909654039894
2021-09-15,-0.008763487354449354
2021-09-16,-0.00860931086208265
2021-09-17,-0.008599523333371934
2021-09-20,-0.008690795696886956
2021-09-21,-0.008794560878684195
2021-09-22,-0.008691066572419219
2021-09-23,-0.008771893787470663
2021-09-24,-0.00870873547015816
2021-09-27,-0.00861393951063541
2021-09-28,-0.008610475572928673
2021-09-29,-0.008548597729414681
2021-09-30,-0.008539870318936311
2021-10-01,-0.00868902459660592
2021-10-04,-0.00859501781385667
2021-10-05,-0.008640433252978636
2021-10-06,-0.008660116168988477
2021-10-07,-0.00870367842994714
2021-10-08,-0.008586532826304874
2021-10-12,-0.008568977463761644
2021-10-13,-0.00860780853932699
2021-10-14,-0.008534391586224939
2021-10-15,-0.008657754869251346
2021-10-18,-0.008515282897644675
2021-10-19,-0.008515574507123055
2021-10-20,-0.008447311261404073
2021-10-21,-0.00852516669451681
2021-10-22,-0.00849387730746503
2021-10-25,-0.008379696151492644
2021-10-26,-0.008428202960368269
2021-10-27,-0.00835669670896773
2021-10-28,-0.008473373546509937
2021-10-29,-0.008417565325404337
2021-11-01,-0.008369587915689121
2021-11-02,-0.0083586921498534
2021-11-03,-0.007807263485337052
2021-11-04,-0.0077515804708258845
2021-11-05,-0.007723014246681111
2021-11-08,-0.007767152133789148
2021-11-09,-0.007692772208544489
2021-11-10,-0.007730024707772014
2021-11-12,-0.007602511580082708
2021-11-15,-0.007628623743850512
2021-11-16,-0.007683217461605235
2021-11-17,-0.0076412655651108006
2021-11-18,-0.007672711791873664
2021-11-19,-0.007680928285659199
2021-11-22,-0.007752253672687402
2021-11-23,-0.007680885008209813
2021-11-24,-0.0076511832138388206
2021-11-26,-0.007671189059810474
2021-11-29,-0.00776266319275398
2021-11-30,-0.007752374031240336
2021-12-01,-0.007849470676362975
2021-12-02,-0.007823075342899877
2021-12-03,-0.007890198917669792
2021-12-06,-0.007835731382182336
2021-12-07,-0.007887559866394058
2021-12-08,-0.007932109195137746
2021-12-09,-0.007954744205626274
2021-12-10,-0.007947799669085745
2021-12-13,-0.007952522199344711
2021-12-14,-0.007973604951538748
2021-12-15,-0.007979212119821723
2021-12-16,-0.00800175050657359
2021-12-17,-0.008044173644726784
2021-12-20,-0.008096300601906739
2021-12-21,-0.008161248791978062
2021-12-22,-0.008175349030435496
2021-12-23,-0.008144996538771555
2021-12-27,-0.0081870481692462
2021-12-28,-0.008158415194434969
2021-12-29,-0.008143125608977618
2021-12-30,-0.00809693455521793
2022-01-03,-0.008108897091408438
2022-01-04,-0.008157588761767509
2022-01-05,-0.00818560640224165
2022-01-06,-0.008238483915321507
2022-01-07,-0.008214459813455406
2022-01-10,-0.008184247544614151
2022-01-11,-0.00825683530641145
2022-01-12,-0.008327094710167873
2022-01-13,-0.008133922518288077
2022-01-14,-0.00826218287901846
2022-01-18,-0.008267448666082571
2022-01-19,-0.008458003864046774
2022-01-20,-0.0084197714026716
2022-01-21,-0.008488904166449193
2022-01-24,-0.008604181440234155
2022-01-25,-0.00861821735134051
2022-01-26,-0.008615912891211892
2022-01-27,-0.008655839075738095
2022-01-28,-0.008529772416243978
2022-01-31,-0.008593904092832208
2022-02-01,-0.008446379548550055
2022-02-02,-0.008501108652606984
2022-02-03,-0.008464399388353718
2022-02-04,-0.008569177994340803
2022-02-07,-0.00865285661933353
2022-02-08,-0.008594584011358895
2022-02-09,-0.008625368282999429
2022-02-10,-0.008653789535480802
2022-02-11,-0.008720465188349187
2022-02-14,-0.008898015085331668
2022-02-15,-0.008941614269534996
2022-02-16,-0.009036714669639791
2022-02-17,-0.008986598659387104
2022-02-18,-0.009110783648898804
2022-02-22,-0.009205951357517537
2022-02-23,-0.009168198749983295
2022-02-24,-0.009337019213967174
2022-02-25,-0.009364250108124847
2022-02-28,-0.009308591996913845
2022-03-01,-0.009255802798676747
2022-03-02,-0.009342056782968238
2022-03-03,-0.00930583514845062
2022-03-04,-0.009342358551374299
2022-03-07,-0.009411998380110346
2022-03-08,-0.00961101798899481
2022-03-09,-0.009617354789970101
2022-03-10,-0.00983881698171848
2022-03-11,-0.009797008847788603
2022-03-14,-0.009938179927688494
2022-03-15,-0.009988959241475914
2022-03-16,-0.009953134556361843
2022-03-17,-0.010038369442591528
2022-03-18,-0.010089855165994303
2022-03-21,-0.009987484958752131
2022-03-22,-0.009968343959514854
2022-03-23,-0.010008654496790897
2022-03-24,-0.010039953614579251
2022-03-25,-0.010002431607071817
2022-03-28,-0.00997828678220127
2022-03-29,-0.009940056804641379
